id,name
PEOPLE,ZB (Derivatives) PEOPLE
BTC,CME Group BTC
EOSPFC,EOSPFC
MATIC,ZB (Derivatives) MATIC
LUNC,Bibox (Futures) LUNC
FIL,ZB (Derivatives) FIL
LUNA,Bibox (Futures) LUNA
APT,Bibox (Futures) APT
CEL,BingX (Futures) CEL
UNISWAP,Uniswap Index
FIDA,Bonfida Token
HOT,Holo
MINA,Mina Protocol
MOB,MobileCoin
SHIB,PrimeXBT SHIB
COMP,Compound Token
PIT,MEXC Global (Futures) PIT
ETC,Ethereum Classic
DOT,Polkadot
PERP,Perpetual
AXS,Axie Infinity
BAL,Balancer
BTC,Bitcoin
USD,MASKUSD.IDX
C98,Deepcoin (Derivatives) C98
DEROSEUSDT,.DEROSEUSDT
DYDX,dYdX
LINK,Chainlink
BMEX,BitMEX (Derivative) BMEX
USD,MCDEX USD
DFN,CoinFLEX (Futures) DFN
ZIL,Perpetual Protocol ZIL
LINK,Bibox (Futures) LINK
XRP,Bibox (Futures) XRP
AXS,Bibox (Futures) AXS
BSV,ZBG Futures BSV
ATLAS,MEXC Global (Futures) ATLAS
BCHABC,CoinFLEX (Futures) BCHABC
USDC,Prime XBT USDC
ETC,Bibox (Futures) ETC
TRX,BitMEX (Derivative) TRX
AMZNPRE,Amazon
SUN,MyCoinStory SUN
BSV,Bibox (Futures) BSV
DASH,Bibox (Futures) DASH
HPOS,Aevo HPOS
BNB,BTCC Futures BNB
COV,Prime XBT COV
NEO,Bibox (Futures) NEO
EOS,Bibox (Futures) EOS
BTC,GMO Japan (Futures) BTC
BCH,GMO Japan (Futures) BCH
ETH,GMO Japan (Futures) ETH
XRP,GMO Japan (Futures) XRP
D,CoinFLEX (Futures) D
ONT,Bibox (Futures) ONT
TRX,Bibox (Futures) TRX
MKR,Extended MKR
SUSHI,Bibox (Futures) SUSHI
ETH,FMex ETH
ATOM,Bibox (Futures) ATOM
USDT,Prime XBT USDT
KLAY,PrimeXBT KLAY
WETH,dYdX Perpetual (L1) WETH
MKR,Maker
XRP,XRP
KON,BitVenus Futures KON
EOS,PrimeXBT EOS
SOL,Bibox (Futures) SOL
BCH,Bibox (Futures) BCH
UNI,Bibox (Futures) UNI
ADA,Delta Exchange ADA
BCH,Delta Exchange BCH
ETHG20,ETHG20
BTC,Bitflyer (Futures) BTC
LINK,BitMEX (Derivative) LINK
HT,Bitmart Futures HT
KSM,Bibox (Futures) KSM
LTC,Bibox (Futures) LTC
LTC,GMO Japan (Futures) LTC
XBT,CoinFLEX (Futures) XBT
ADA,ZB (Derivatives) ADA
ETH,ZB (Derivatives) ETH
BNB,BaseFEX BNB
OP,ZB (Derivatives) OP
APE,Bibox (Futures) APE
FIL,Bibox (Futures) FIL
UNI,Perpetual Protocol UNI
BTC,Bibox (Futures) BTC
XMRG20,XMRG20
APE,ZB (Derivatives) APE
ETHX19,ETHX19
BBCXG20,BBCXG20
USDC,CoinFLEX (Futures) USDC
SOS,Huobi Futures SOS
STEPN,Bibox (Futures) STEPN
LUNA,Crypto.com Exchange (Futures) LUNA
MATIC,BitMEX (Derivative) MATIC
BXBT,.BXBT
LTCX19,LTCX19
GRASS,Quanto GRASS
BTC,FMex BTC
BSRMT30M,.BSRMT30M
DOT,Bibox (Futures) DOT
CREAM,Perpetual Protocol CREAM
ETH,Bibox (Futures) ETH
AXS,BitMEX (Derivative) AXS
CRV,Drift Protocol CRV
ETHM23,ETHM23
DEOBMATICUSDT,.DEOBMATICUSDT
AAVE,Bibox (Futures) AAVE
BTCG20,BTCG20
LINK,BHEX (Futures) LINK
BTC,Bakkt BTC
BTCX19,BTCX19
LTCG20,LTCG20
GRIN,Bitforex (Futures) GRIN
MCB,MCDEX MCB
WAVES,Delta Exchange WAVES
XTZ,Delta Exchange XTZ
ATOM,BHEX (Futures) ATOM
LTCH20,LTCH20
BBCXZ19,BBCXZ19
FODL,MEXC Global (Futures) FODL
UNI,BitMEX (Derivative) UNI
BABYDOGE,OKX (Futures) BABYDOGE
USDT,USDT
XLM,Delta Exchange XLM
RVN,Delta Exchange RVN
XBT,BitMEX (Derivative) XBT
BBCXX19,BBCXX19
BBAXG20,BBAXG20
LUNCH,MEXC Global (Futures) LUNCH
MATIC,MCS MATIC
LINK,MCS LINK
BVETT30M,.BVETT30M
GRT,Graph Token
BSV,Delta Exchange BSV
XMRX19,XMRX19
XMRH20,XMRH20
BBAXX20,BBAXX20
EOS,BaseFEX EOS
HYPE,Defx HYPE
ATOM,GMO Japan (Futures) ATOM
BARKT,.BARKT
SOMI,DeriW SOMI
BXBT,.BXBT
SOL,MCS SOL
ATOM,Drift Protocol ATOM
LTC,BaseFEX LTC
PLINK,dYdX Perpetual (L1) PLINK
BBAXH20,BBAXH20
DEOBADAUSDT,.DEOBADAUSDT
LINK,Delta Exchange LINK
DOT,Perpetual Protocol DOT
XMRX21,XMRX21
BFILT30M,.BFILT30M
DESRMUSDT,.DESRMUSDT
BTCH20,BTCH20
BAAVET30M,.BAAVET30M
DEWRXXBT,.DEWRXXBT
BAXST30M,.BAXST30M
BMANAT,.BMANAT
STX,Stacks
BTCK21,BTCK21
BTC,BitZ (Futures) BTC
FTT,Prime XBT FTT
BEOST,.BEOST
WNXM,OKX (Futures) WNXM
XCH,BingX (Futures) XCH
LUNA,Prime XBT LUNA
ETHH20,ETHH20
BBCXH20,BBCXH20
ETH,MCS ETH
UNI,ZBG Futures UNI
MANA,Decentraland
BSANDT,.BSANDT
FIL,Quanto FIL
BTC,Binance JEX (Futures) BTC
XMRQ21,XMRQ21
BSUSHIT30M,.BSUSHIT30M
BBCXQ20,BBCXQ20
ETHZ19,ETHZ19
XMRF20,XMRF20
ETHK21,ETHK21
BSRMT,.BSRMT
BCH,BaseFEX BCH
BBCXF20,BBCXF20
NEAR,Drift Protocol NEAR
UMA,MyCoinStory UMA
ETH,Binance JEX (Futures) ETH
"{""VALUE""=>""DOT""}","MCS {""VALUE""=>""DOT""}"
LTCF20,LTCF20
BTC,DueDEX BTC
ETHF20,ETHF20
LTCN20,LTCN20
BTCQ21,BTCQ21
ETC,HBTC (Futures) ETC
EOS,Binance JEX (Futures) EOS
KKEEPUSDT,.KKEEPUSDT
FTT,Perpetual Protocol FTT
XMRN21,XMRN21
MATIC,Delta Exchange MATIC
BTCF20,BTCF20
SOL-MOON-115.00-M1713,ACDX Futures SOL-MOON-115.00-M1713
FTT,BTCEX (Futures) FTT
DEKLAYUSDT,.DEKLAYUSDT
XMRZ19,XMRZ19
LTCZ19,LTCZ19
BTC-MOON-34000-M0140,ACDX Futures BTC-MOON-34000-M0140
1INCH-DIVE-5.00-D1001,ACDX Futures 1INCH-DIVE-5.00-D1001
BTCN21,BTCN21
OKB,Bitmart Futures OKB
XMR,Prime XBT XMR
BTC,Liquid Perpetuals BTC
DEFI,DeFi Index
BVVVT30M,.BVVVT30M
67,Quanto 67
DEOBZECUSDT,.DEOBZECUSDT
LTCQ21,LTCQ21
